4/3/17,Twitri,CLOB Rearchitecture,BGC001,Project Management, 6.26 ,6,TRUE,TRUE,TRUE,Walter,Silva,Product,TRUE,50,0,0,United States Dollar - USD,
4/3/17,Roonder Technologies LLC,Roonder 3.0,TM001,Project Management, 1.80 ,1.5,TRUE,TRUE,TRUE,Walter,Silva,Product,TRUE,70,0,0,United States Dollar - USD,
4/3/17,Prosaria,Business Development,GM001,Business Development, 0.92 ,1,FALSE,FALSE,TRUE,Walter,Silva,Product,TRUE,0,0,0,United States Dollar - USD,
4/3/17,Prosaria,Conference/Training,GM005,Conference/Training, 7.97 ,8,FALSE,FALSE,TRUE,Tabitha,Jenkins,,TRUE,0,0,0,United States Dollar - USD,
4/3/17,Olith,Pharos,DV002,Engineering, 7.69 ,8,TRUE,TRUE,TRUE,Hubert,Green,Engineering,TRUE,80,0,0,United States Dollar - USD,
4/3/17,Twitri,CLOB Rearchitecture,BGC001,Business Relationship Management, 2.54 ,3,FALSE,TRUE,TRUE,Tommy,Nash,,TRUE,0,0,0,United States Dollar - USD,
4/3/17,Prosaria,Team Development (FALSEn-Training),GM006,Business Development, 3.29 ,3,FALSE,FALSE,TRUE,Tommy,Nash,,TRUE,0,0,0,United States Dollar - USD,
4/3/17,Prosaria,Admin/Legal,GM002,Legal, 2.21 ,2,FALSE,FALSE,TRUE,Tommy,Nash,,TRUE,0,0,0,United States Dollar - USD,
4/3/17,Twitri,CLOB Rearchitecture,BGC001,Engineering, 8.14 ,8,TRUE,TRUE,TRUE,Eugene,Kim,,TRUE,70,0,0,United States Dollar - USD,
4/3/17,Twitri,CLOB Rearchitecture,BGC001,Engineering, 8.01 ,8,TRUE,TRUE,TRUE,Emma,Clarke,,TRUE,50,0,0,United States Dollar - USD,
4/3/17,Olith,Pharos,DV002,Engineering, 4.46 ,4,TRUE,TRUE,TRUE,Bradley,Hale,,TRUE,80,0,0,United States Dollar - USD,
4/3/17,Prosaria,Conference/Training,GM005,Conference/Training, 3.84 ,4,FALSE,FALSE,TRUE,Bradley,Hale,,TRUE,0,0,0,United States Dollar - USD,
4/3/17,Prosaria,Admin/Legal,GM002,Engineering, 2.11 ,2,FALSE,FALSE,TRUE,Bradley,Hale,,TRUE,0,0,0,United States Dollar - USD,
4/3/17,Olith,Pharos,DV002,Engineering, 7.57 ,8,TRUE,TRUE,TRUE,Rudy,Parker,Engineering,TRUE,80,0,0,United States Dollar - USD,
4/3/17,Roonder Technologies LLC,Roonder 3.0,TM001,Engineering, 7.73 ,8,TRUE,TRUE,TRUE,Faye,Cain,,TRUE,70,0,0,United States Dollar - USD,
4/3/17,Prosaria,Paid Time Off,GM003,PTO, 7.87 ,8,FALSE,FALSE,TRUE,Neal,Gordon,,TRUE,0,0,0,United States Dollar - USD,
4/3/17,Anil,Ethereum,RD001,Engineering, 3.84 ,4,FALSE,FALSE,TRUE,Robert,Powell,,TRUE,0,0,0,United States Dollar - USD,
4/3/17,Prosaria,Team Development (FALSEn-Training),GM006,Business Development, 3.96 ,4,FALSE,FALSE,TRUE,Robert,Powell,,TRUE,0,0,0,United States Dollar - USD,
